iter	F1	Logloss
0	0.6386393888	0.6694476283
1	0.6410209961	0.6364368499
2	0.6452693066	0.629500978
3	0.6461338335	0.6235063597
4	0.6605412112	0.6135133057
5	0.6707307968	0.6106339833
6	0.6707123799	0.6073677528
7	0.6690534262	0.6035413526
8	0.6726318454	0.6020635724
9	0.6802623375	0.5952004032
10	0.684032511	0.5929189729
11	0.6798147191	0.5906532273
12	0.6822534383	0.5886794212
13	0.684055984	0.5871249307
14	0.6840973659	0.5858381774
15	0.6858822206	0.5848151485
16	0.6932784382	0.5822803464
17	0.6914923119	0.5808972179
18	0.6951853784	0.5795639662
19	0.6985439978	0.5750828531
